ID;MEETING_DATE;FIRST_NAME;LAST_NAME;CITY;STREET;HOME_NUMBER;POST_CODE;POST_CITY;PHONE;COMMUNITY;COUNTY;OFFER;WYPOSAΩENIE;CENA;SPOS‡B ZAKUPU;STATUS ;RAITING;MEETING_DESCRIPTION;NEXT_MEETING
1;2019-04-25;Marian;Borowski;Nowe Aleksandrowo;Wesoàa;84;16-002;Dobrzyniewo D;654 987 952;Dobrzyniewo D;Biaàostocki;;;;;;1;Planuje kupiÜ opryskiwacz 2500L;
2;2019-04-25;Dariusz;Dàugi;Dàugoà©ka;;55;19-111;Krypno;659 214 555;Krypno;Moniecki;Pumax;;;;Wysoki;7;Planuje ci•gnik 100 KM;
3;2019-04-25;Wociech ;Wolny;Zanikosy;Warszawska;15;16-002;Dobrzyniewo D;555 444 111;Dobrzyniewo D;Biaàostocki;;;;;óredni;8;Oferta wysàana;
4;2019-04-25;Mariusz;Zalewski;Zanikosy;Biaàostocka;18;16-002;Dobrzyniewo D;666 555 445;Dobrzyniewo D;Biaàostocki;Farm C, Luxarxum;;;;;9;;
5;2019-04-25;Bartosz;Grz©sikowiak;Szucowski;Jutrzenki;22;16-002;Dobrzyniewo D;156 165 165;Dobrzyniewo D;Biaàostocki;;;;;óredni;8;Moæna zajechaÜ za 4-5 miesi©cy;2019.08.15
6;2019-04-25;Anna;Nowa;Zasàoniki;Sukienna;46;19-111;Krypno;554 564 646;Krypno;Moniecki;Farm C;;;;óredni;8;110 KM na jesie‰;2019.08.20
7;2019-04-25;Janina;Porowska;Zasàoniki;Kopernika;44;19-111;Krypno;554 565 233;Krypno;Moniecki;;;;;;8;Jesie‰, Fella do òrodka grabi•ca, storti 8m;2019.08.20
8;2019-04-26;Franciszek;Namolny;Rutki Duæe ;;23;19-124;Jaòwiày;554 564 647;Jaòwiày;Sok¢àka;;;;;óredni;8;Przepisuje gospodarstwo na syna, moæe jakiò program;2019.07.24
9;2019-04-26;Barbara ;Ochocla;Rutki Duæe ;Towarowa;26;19-124;Jaòwiày;554 565 234;Jaòwiày;Sok¢àka;Pumax;;;;óredni;2;Chce kupiÜ Maàa àadowarka przegàubowa, àadowacz tur do Doutz 5120 (3 lata) + montaø, za daleko na montaæ;
10;2019-04-26;Paweà ;Ogrodowy;Rutki Duæe ;Towarowa;7;19-124;Jaòwiày;554 564 648;Jaòwiày;Sok¢àka;;;;;;9;;
